"genotype","DTS","PH","GY"
"NSL30063:250034801/B47",64.227854201029,195.59081437029,11.4624025200856
"PI594078:250031940/B47",65.5289148609845,194.480444003623,12.3650996292543
"EP47:250001446/B47",64.0543730423129,213.3810650489,NA
"PI601229:250031564/B47",66.1199324908579,211.728273883367,12.4033859025736
"Ames23460:250034730/B47",63.4497506045661,202.211555114734,10.7257859678836
"PI601270:250033857/B47",63.9639931484791,193.657061295874,11.8917735491875
"Ames26802:250033803/B47",65.0908717899102,210.489703259178,11.5572695969932
"EP64:250001478/B47",64.0639961940688,203.138719971455,10.5881189197464
"PI601726:250035191/B47",63.5641690811835,192.341555114734,11.4765588388717
"PI517968:250033547/B47",64.8814872196333,199.750547871354,10.1085991234209
"PI601269:250033718/B47",66.2734546468569,214.813406959179,12.8582579949625
"PI601457:250033610/B47",62.5025020634157,215.375952209277,10.6444597792766
"Ames23409:250034833/B47",63.8340507705338,210.297386003597,12.8021043963255
"PI601459:250032594/B47",64.7136856415065,211.96081437029,11.2383713670919
"Ames24709:250032528/B47",63.4589921086706,219.406369925845,10.793039255633
"NSL30885:250033669/B47",67.0766914197492,232.059452722111,11.9814130294264
"PI638553:250034984/B47",66.8115365574804,217.587600866555,11.7821503555614
"Ames23445:250032348/B47",63.676357429809,189.454731080116,9.98891230307349
"PI550567:250035231/B47",63.7888866699618,207.656369925845,11.5791089508267
"NSL32735:250035205/B47",63.2127599140759,201.76711067029,10.1300491266386
"PI601466:250032185/B47",65.5494133526913,207.665258814734,12.4079645274178
"PI533658:250040792/B47",66.2647512106739,199.008221781401,11.3331201544538
"PI601560:250033611/B47",65.190869221557,206.730073625845,12.3126317271248
"NSL30863:250031011/B47",66.0773418961112,204.840444003623,12.5893285208169
"Mo17:250040833/B47",66.5425681782208,213.640117375881,12.5772360386214
"PI601316:250031658/B47",63.7864392871989,190.395811295874,12.2568812435377
"PI600944:250032906/B47",63.4496502490418,208.989332892512,12.54854644536
"Ames24711:250032545/B47",65.0683921026971,216.766740292512,10.8601838456571
"Ames24742:250032447/B47",65.8266662961119,196.3810650489,NA
"Ames19016:250031305/B47",65.1283895698767,201.128221781401,12.2097007349485
"PI538231:250035201/B47",63.7443765472748,213.508592148068,10.5500300039085
"PI601791:250034985/B47",64.5349548571296,225.834977958374,12.6432848837566
"NSL30074:250032441/B47",62.5413086060638,211.647061295874,11.398529600063
"NSL81600:250034831/B47",65.2608047686093,206.443036592512,11.1704378575269
"Ames26755:250031580/B47",65.9914964785628,199.548870290485,11.7477244529086
"Ames24705:250032408/B47",65.0488667184903,214.659981407152,10.917491484558
"PI601729:250033706/B47",66.7614243963426,218.134712624022,10.3233582191469
"PI550466:250031293/B47",66.1924304678483,217.291304566555,12.0147054394051
"PI594080:250031961/B47",66.4440010712895,220.957971233222,11.9838378823203
"PI560074:250031492/B47",66.2262830854221,219.244637899888,12.4399787802332
"Ames28938:250031008/B47",68.1221244306435,222.605749011,13.5573935642205
"Ames14113:250032833/B47",69.4292031271119,236.839080062042,10.8907637638088
"PI527700:250031003/B47",64.6633370648797,234.725749011,12.0902342997257
"PI559918:250031522/B47",66.553815235592,214.216860122111,11.2290767158237
"Ames19328:250031547/B47",67.9657884502055,218.597230499888,12.1530413436055
"PI564717:250032963/B47",66.5638581536592,207.255008277666,11.3974700140527
"Ames28412:250031628/B47",67.3255379953316,213.075389470585,11.894889126639
"Ames19008:250031330/B47",67.5587511250444,223.966489755444,12.5483373786774
"PI186188:250034954/B47",66.0294536624131,222.809082344333,10.9773824249549
"Ames26747:250031650/B47",66.1285859071048,205.310193455444,11.2465725777925
"Ames24989:250033695/B47",67.2775062118011,200.509285549276,12.1155685508163
"Ames26776:250031156/B47",67.1703059126265,228.326648073818,11.7842137629191
"PI601008:250033837/B47",67.1855533663849,209.528446104172,12.4072119131757
"PI531083:250031067/B47",67.9990244369083,239.634637899889,12.073524332661
"NSL67792:250031268/B47",67.4283413716708,222.473440477062,11.5592741060353
"Ames26132:250031125/B47",67.1037758566575,226.726489755444,12.2863799287675
"PI600751:250033671/B47",66.4774841934022,216.290563833222,12.2481351519115
"Ames27184:250031512/B47",64.8143744426417,207.457971233222,12.0262006464865
"Ames19006:250031408/B47",67.4280920356553,217.957971233222,11.7656656855013
"NSL30871:250033841/B47",66.9487391672906,210.917214546354,11.759584298306
"PI601470:250031962/B47",69.8797513540451,225.456134914456,11.9913473482462
"Ames20137:250030999/B47",66.7717146346058,251.160934199889,10.9683962415578
"PI601686:250031450/B47",66.8111891352219,218.152415677666,12.3903927776023
"PI596356:250032396/B47",66.3338220195322,219.689823088778,11.2685118244663
"PI601438:250033530/B47",65.1650069276528,219.290934199889,12.2571522099724
"NSL22984:250040787/B47",66.8922648048991,228.670193455444,10.7011863423918
"PI584528:250031647/B47",65.8781095589588,224.364637899889,11.8258628065749
"NSL65872:250035078/B47",65.174353974757,237.123897166555,10.969634567712
"PI594045:250034759/B47",66.7798435644477,206.930193455444,11.2612291726817
"PI632746:250031010/B47",64.2908485405228,222.430193455444,12.2325175862801
"PI601561:250031396/B47",66.5211648279389,220.616119388777,12.839640567112
