<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z004E0057/PHZ51	0.021248706	-0.009257644	-0.010732432	-0.024896022	0.010156031
Z004E0058/PHZ51	-0.0030863981	-0.011031473	0.0027686276	-0.0026937735	0.008498121
Z004E0059/PHZ51	0.012317225	0.01095032	0.013603607	-0.017062152	-0.0036823943
Z004E0063/PHZ51	0.02264393	0.02541769	-0.011915888	0.004768222	0.010826613
Z004E0064/PHZ51	0.0175637	0.0107325325	-0.01370821	0.001472398	0.0126030715
Z004E0066/PHZ51	0.010563534	0.0013928731	-0.020134034	0.011220071	0.01740599
Z004E0067/PHZ51	0.0100356955	0.009044034	-0.009607073	-0.002843343	0.014217939
Z004E0070/PHZ51	0.010394481	0.003647778	-0.024071248	0.0035377357	0.024774022
Z004E0071/PHZ51	0.011006678	0.006470033	-0.006455799	0.0021082498	0.019132894
Z004E0075/PHZ51	0.029461958	-0.025460161	-0.017354172	0.00820565	0.0020877528
Z004E0076/PHZ51	0.004770286	0.012769063	0.011880366	-0.01919394	-0.0072613144
Z004E0077/PHZ51	-0.0046422626	-0.006892197	-0.0127727445	-0.020629618	-0.00484044
Z004E0078/PHZ51	0.0057151197	-0.0030850188	-0.032999735	-0.014124264	-0.0019129607
Z004E0079/PHZ51	0.021459395	0.00499706	-0.010683983	0.010910983	-0.012878415
Z004E0081/PHZ51	-0.0053474144	-0.018575627	0.012799295	0.01760021	0.01282571
Z004E0082/PHZ51	0.004555808	-0.015073536	0.013270571	-0.0067965295	0.033493668
Z004E0084/PHZ51	-0.0011569487	0.0089224875	0.015650783	0.010867852	3.3868777E-4
Z004E0086/PHZ51	0.006565719	0.018716726	0.02464477	-0.004118621	0.01090588
Z004E0091/PHZ51	0.028555281	0.014472943	-0.006809847	-0.006592894	-0.0067438995
Z004E0099/PHZ51	0.013007126	0.0037798695	-0.02307381	-0.0021183721	0.023936054
Z004E0100/PHZ51	0.0040704343	-0.013371518	0.011970272	0.0027484705	0.026205089
Z004E0107/PHZ51	-0.0034563239	-0.02205702	0.00871536	0.003802455	0.01127349
Z004E0113/PHZ51	0.023835229	-0.01409259	0.025243243	-0.0021971753	-0.0027951195
Z004E0114/PHZ51	0.006928382	-0.0253583	0.011999725	0.0036408943	-0.007473901
