<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z003E0112/PHZ51	0.011340331	-0.006056616	0.0123906275	-0.017740756	-0.010498774
Z003E0114/PHZ51	0.0040821154	-0.0119179	0.0054908716	-0.026202874	0.021647675
Z003E0115/PHZ51	0.010290532	-3.6938678E-4	0.013220048	-0.02092168	-0.013152237
Z003E0117/PHZ51	0.0143692605	-0.007928014	-0.021342842	-0.022246689	0.005378839
Z003E0118/PHZ51	0.020500358	-0.014898262	-0.017469682	0.018717622	-0.01672449
Z003E0120/PHZ51	0.017107695	-6.7954E-4	0.008749319	-0.026511552	-0.009395518
Z003E0126/PHZ51	0.0068566124	-0.010811702	3.1317255E-4	-0.01652044	0.016492173
Z003E0128/PHZ51	0.0062895184	-0.03146308	0.012189582	-0.0030974473	0.010839177
Z003E0129/PHZ51	0.0032053627	-0.0077342317	3.277242E-4	-0.015670557	-0.008782765
Z003E0133/PHZ51	0.026666377	0.0025032258	-0.014972737	-0.016915325	0.009394413
Z003E0134/PHZ51	0.016847895	-0.004192986	-0.022847602	-7.8060705E-4	0.011829724
Z003E0135/PHZ51	0.01901878	0.008654093	-0.023861932	-0.015831448	-0.0049746674
Z003E0136/PHZ51	0.02148758	9.5596886E-4	0.0146666905	-0.030882072	-0.015698925
Z003E0137/PHZ51	0.0027136675	-0.018603668	0.009345878	-1.5772402E-4	0.014521713
Z003E0138/PHZ51	0.013828798	0.004111749	0.0136036165	-0.026430098	-0.008083358
Z003E0141/PHZ51	-0.001773831	-0.029335655	0.0010717817	0.002474241	-0.016484912
Z003E0142/PHZ51	0.02132172	-0.018739685	-0.0053001475	-0.02415915	-0.0055459025
Z003E0144/PHZ51	0.03200284	-0.0026181398	-0.001114989	0.017787622	-0.018771233
Z003E0145/PHZ51	-0.003270111	-0.0075700143	-0.0019614852	-0.026865255	0.00666076
Z003E0147/PHZ51	0.024244836	-0.025016535	-0.0105968835	0.0062584765	-0.0148206465
Z003E0148/PHZ51	0.020037701	0.0025912633	0.009103258	-0.019589558	0.012713287
Z003E0150/PHZ51	0.026397187	0.0014870759	0.027624803	-0.017173944	0.005336329
Z003E0151/PHZ51	0.009872874	0.0036337548	0.0150041655	-0.019897416	-0.024343671
Z003E0153/PHZ51	0.0333758	-0.01572782	0.0145000145	0.0043120594	-0.022417448
Z003E0154/PHZ51	-2.0237142E-4	-0.015431716	4.8338357E-4	-0.026886383	-0.014151912
Z003E0155/PHZ51	-0.009637016	-9.583635E-4	0.0015846433	-0.017298132	0.010601609
Z003E0156/PHZ51	0.027412435	0.014795857	-0.0031384914	-0.014674626	0.014013423
Z003E0158/PHZ51	0.024443066	0.016782073	-0.005032802	-0.007074179	0.0051228395
Z003E0164/PHZ51	0.007863618	0.011040551	0.01753245	-0.012524166	-0.0070844414
Z003E0167/PHZ51	0.018750288	-0.019187788	-0.01779049	0.0071881046	0.014826702
Z003E0179/PHZ51	0.02185393	0.010898891	0.011912739	-0.011059	0.0058013867
Z003E0181/PHZ51	-0.0071761063	-0.002334106	0.002719793	-0.019092364	0.011645455
Z003E0185/PHZ51	3.9671874E-4	-0.007909838	0.003333499	-0.02306727	0.017479194
Z003E0186/PHZ51	0.029170651	0.013667764	3.3862147E-4	-0.0064274403	-0.0028030493
