pheno	geno	nam	intercept	gsEffect	r2	pval
DTS	rlxbp	CML52	41.109085362303	3.1843986847196e-07	0.0192492124846292	0.286262687791924
PH	rlxbp	CML52	361.522085896547	-1.09978387676118e-06	0.00460558684553304	0.600212189494292
GY	rlxbp	CML52	21.1983309304014	2.09757310293258e-08	0.000359216133204416	0.886701964120721
GYraw	rlxbp	CML52	1.55583481452411	4.38328829872478e-08	0.00164108075754243	0.756578488695557
DTS	rlxbp	CML69	62.079332890928	9.48186288792107e-08	0.00309063360850407	0.654994653682385
PH	rlxbp	CML69	320.059369662746	-7.11759019390073e-07	0.00140947101587603	0.762937714971959
GY	rlxbp	CML69	35.257109624256	-1.12107560248928e-07	0.0106523362051932	0.417033600017382
GYraw	rlxbp	CML69	10.1392358387372	-4.11905879457953e-08	0.00192178486899851	0.728783959006547
DTS	rlxbp	Il14H	44.0540724544516	2.41909846057294e-07	0.0379576046657361	0.19446234304704
PH	rlxbp	Il14H	248.8875429655	-2.03621588847502e-09	3.30891298992733e-08	0.999042714230936
GY	rlxbp	Il14H	9.68037278874509	1.29530239483067e-07	0.0100091263843398	0.641840571607479
GYraw	rlxbp	Il14H	-11.3804983381195	1.81890841570064e-07	0.0218024435491286	0.491113283223298
DTS	rlxbp	Ki11	0.651623117435556	7.15623077642823e-07	0.061593492013668	0.0731575518528569
PH	rlxbp	Ki11	283.75445906593	-2.88414607524667e-07	0.000338448398904737	0.89597363088019
GY	rlxbp	Ki11	25.511761277608	-2.66215630339878e-08	0.000612233835155401	0.861774217815332
GYraw	rlxbp	Ki11	27.3187651313089	-2.14695303538311e-07	0.0304109812277097	0.216288776519272
DTS	rlxbp	Ki3	49.0017340331522	2.17220255152246e-07	0.0137484872930681	0.319774368216567
PH	rlxbp	Ki3	295.227151108477	-5.79384399154982e-07	0.00146247414008385	0.746323821078566
GY	rlxbp	Ki3	31.3994564133972	-7.71707267618821e-08	0.00524834381741768	0.554144266023463
GYraw	rlxbp	Ki3	2.79978695789265	4.02964376978536e-08	0.00128073035787256	0.770336862953591
DTS	rlxbp	Ky21	60.211681526111	1.05494984586827e-07	0.00341107106674429	0.631043983717124
PH	rlxbp	Ky21	-101.756443347881	3.52907776467232e-06	0.0597150122328833	0.0414774659263758
GY	rlxbp	Ky21	18.803583584391	4.3142484983414e-08	0.00136109878759144	0.787200653249402
GYraw	rlxbp	Ky21	15.1502354617299	-8.4691834731139e-08	0.00988746595429929	0.461780520799079
DTS	rlxbp	M162W	65.3442538287995	4.78326808522748e-08	0.00120464063113399	0.780372007502603
PH	rlxbp	M162W	277.349948614516	-3.44169010077564e-07	0.000790139576812244	0.82135686450187
GY	rlxbp	M162W	30.6023231354495	-7.16467222870407e-08	0.00818260516988092	0.466620347604511
GYraw	rlxbp	M162W	3.03135187123878	3.73705885381532e-08	0.00308893152892099	0.657595812274016
DTS	rlxbp	M37W	43.6286205124807	2.76633886563271e-07	0.0297373408333466	0.15966037859203
PH	rlxbp	M37W	158.249408305662	9.89131654651618e-07	0.00346788326972615	0.633347748054968
GY	rlxbp	M37W	49.1649906918137	-2.56057748169069e-07	0.0741217371517942	0.0258249108244534
